Depth[m]	Vp[m/s]	Density[kg/m3]
1637.84	3136.1	2378
1638.00	3029.4	2374
1638.15	2955.8	2402
1638.30	2885.8	2392
1638.45	2833.6	2389
1638.60	2842.1	2406
1638.76	2850.1	2389
1638.91	2872.5	2373
1639.06	2943.2	2386
1639.21	3013.0	2367
1639.37	3045.9	2348
1639.52	3008.3	2353
1639.67	2966.9	2347
1639.82	2907.1	2340
1639.98	2853.1	2351
1640.13	2824.7	2378
1640.28	2860.8	2405
1640.43	2912.5	2417
1640.59	2961.8	2403
1640.74	2988.1	2407
1640.89	3015.0	2398
1641.04	3042.9	2387
1641.20	2995.6	2392
1641.35	2948.9	2393
1641.50	2903.6	2384
1641.65	2859.7	2372
1641.81	2816.9	2381
1641.96	2840.5	2388
1642.11	2878.6	2349
1642.26	2916.9	2342
1642.41	2939.9	2359
1642.57	2925.8	2369
1642.72	2911.8	2376
1642.87	2899.3	2352
1643.02	2926.9	2304
1643.18	2952.5	2273
1643.33	2976.0	2244
1643.48	2980.7	2255
1643.63	2976.9	2268
1643.79	2957.4	2286
1643.94	2938.1	2332
1644.09	2919.1	2367
1644.24	2913.5	2375
1644.40	2929.2	2357
1644.55	2945.2	2352
1644.70	2961.2	2342
1644.85	2977.4	2313
1645.01	2981.0	2303
1645.16	2968.1	2307
1645.31	2946.4	2310
1645.46	2920.5	2329
1645.62	2895.0	2342
1645.77	2872.2	2340
1645.92	2796.0	2358
1646.07	2729.6	2369
1646.22	2674.2	2331
1646.38	2645.1	2305
1646.53	2665.4	2280
1646.68	2705.2	2263
1646.83	2725.2	2276
1646.99	2728.3	2279
1647.14	2775.7	2281
1647.29	2844.1	2303
1647.44	2936.4	2320
1647.60	3039.5	2333
1647.75	3120.1	2342
1647.90	3090.0	2330
1648.05	3066.6	2379
1648.21	3058.7	2391
1648.36	3052.7	2386
1648.51	3056.0	2378
1648.66	3077.5	2385
1648.82	3099.3	2378
1648.97	3070.3	2371
1649.12	3027.2	2381
1649.27	2985.2	2390
1649.43	2958.2	2388
1649.58	2974.1	2392
1649.73	2997.4	2381
1649.88	3021.1	2396
1650.03	3022.0	2369
1650.19	2997.1	2339
1650.34	2972.6	2330
1650.49	2960.8	2336
1650.64	2960.8	2296
1650.80	2960.8	2274
1650.95	2956.1	2256
1651.10	2943.0	2264
1651.25	2933.3	2252
1651.41	2937.6	2292
1651.56	2933.9	2323
1651.71	2901.8	2313
1651.86	2870.4	2313
1652.02	2853.5	2313
1652.17	2892.7	2292
1652.32	2939.4	2266
1652.47	2967.8	2249
1652.63	2976.3	2267
1652.78	2991.1	2294
1652.93	3050.3	2324
1653.08	3111.4	2355
1653.24	3151.5	2376
1653.39	3160.2	2398
1653.54	3147.5	2403
1653.69	3122.0	2401
1653.84	3088.9	2412
1654.00	3045.4	2425
1654.15	2969.3	2437
1654.30	2897.0	2445
1654.45	2828.4	2411
1654.61	2768.2	2424
1654.76	2704.8	2440
1654.91	2698.5	2428
1655.06	2703.3	2415
1655.22	2690.3	2365
1655.37	2691.9	2377
1655.52	2774.1	2386
1655.67	2824.7	2355
1655.83	2556.7	2382
1655.98	2734.2	2395
1656.13	2936.8	2374
1656.28	2975.7	2361
1656.44	2995.4	2371
1656.59	2942.8	2378
1656.74	2939.2	2339
1656.89	2950.6	2338
1657.05	2968.7	2356
1657.20	2997.5	2363
1657.35	3048.8	2357
1657.50	3082.6	2375
1657.65	2922.3	2396
1657.81	2612.4	2418
1657.96	2744.6	2429
1658.11	2904.9	2437
1658.26	2944.6	2418
1658.42	2751.3	2390
1658.57	2228.5	2410
1658.72	2494.4	2428
1658.87	2853.5	2438
1659.03	3007.1	2454
1659.18	2910.0	2485
1659.33	2796.4	2501
1659.48	2821.5	2505
1659.64	2871.3	2480
1659.79	2908.8	2409
1659.94	2943.8	2339
1660.09	2978.1	2317
1660.25	3007.6	2310
1660.40	3025.1	2314
1660.55	3034.7	2318
1660.70	3044.7	2323
1660.86	3032.8	2337
1661.01	3041.6	2356
1661.16	3043.4	2363
1661.31	3026.2	2384
1661.46	3009.2	2388
1661.62	2971.2	2362
1661.77	2915.5	2329
1661.92	2880.7	2343
1662.07	2882.1	2365
